id,course_name,category,description,price,level,status
150,Strategy & Implementation: KPI Scorecards & Executive Reporting,Business Analytics,"Comprehensive training program focusing on kpi scorecards & executive reporting with practical focus on strategy & implementation, case studies, and hands-on exercises.",5999,Intermediate,Active
151,Design Thinking & Human-Centered Innovation - Frameworks & Best Practices,Management,"Comprehensive training program focusing on design thinking & human-centered innovation with practical focus on frameworks & best practices, case studies, and hands-on exercises.",5999,Intermediate,Active
152,Practical Applications: Basel III Capital Adequacy Regulations,Banking,"Comprehensive training program focusing on basel iii capital adequacy regulations with practical focus on practical applications, case studies, and hands-on exercises.",5999,Intermediate,Inactive
153,CMA Intermediate Financial Accounting: Practical Applications,CMA,"Comprehensive training program focusing on cma intermediate financial accounting with practical focus on practical applications, case studies, and hands-on exercises.",9999,Intermediate,Active
154,Corporate Governance & Board Advisory - Certification Prep,CS,"Comprehensive training program focusing on corporate governance & board advisory with practical focus on certification prep, case studies, and hands-on exercises.",9999,Intermediate,Active
155,CS Executive Company Law and Practice - Hands-on Workshop,CS,"Comprehensive training program focusing on cs executive company law and practice with practical focus on hands-on workshop, case studies, and hands-on exercises.",9999,Intermediate,Active
156,Frameworks & Best Practices: QuickBooks Online Practical Bookkeeping,Accounting,"Comprehensive training program focusing on quickbooks online practical bookkeeping with practical focus on frameworks & best practices, case studies, and hands-on exercises.",4499,Intermediate,Active
157,Business Model Innovation & Startup Scaling - Certification Prep,Management,"Comprehensive training program focusing on business model innovation & startup scaling with practical focus on certification prep, case studies, and hands-on exercises.",5999,Intermediate,Active
158,Zero to Hero: CMA Foundation Fundamentals of Economics & Mgmt,CMA,"Comprehensive training program focusing on cma foundation fundamentals of economics & mgmt with practical focus on zero to hero, case studies, and hands-on exercises.",6999,Beginner,Active
159,CS Executive Financial & Strategic Management - Zero to Hero,CS,"Comprehensive training program focusing on cs executive financial & strategic management with practical focus on zero to hero, case studies, and hands-on exercises.",6999,Beginner,Active
160,Big Data Processing with Databricks & PySpark - Frameworks & Best Practices,Data Science,"Comprehensive training program focusing on big data processing with databricks & pyspark with practical focus on frameworks & best practices, case studies, and hands-on exercises.",7499,Intermediate,Inactive
161,In-Depth Series: CS Professional Resolution of Corporate Disputes,CS,"Comprehensive training program focusing on cs professional resolution of corporate disputes with practical focus on in-depth series, case studies, and hands-on exercises.",13499,Advanced,Active
162,ESG Investing & Sustainable Finance Frameworks: Practical Applications,Finance,"Comprehensive training program focusing on esg investing & sustainable finance frameworks with practical focus on practical applications, case studies, and hands-on exercises.",6999,Intermediate,Active
163,Recommendation Systems Engineering: Zero to Hero,Data Science,"Comprehensive training program focusing on recommendation systems engineering with practical focus on zero to hero, case studies, and hands-on exercises.",5499,Beginner,Active
164,Executive Training: Six Sigma Black Belt Process Excellence,Certification,"Comprehensive training program focusing on six sigma black belt process excellence with practical focus on executive training, case studies, and hands-on exercises.",10999,Advanced,Active
165,CS Professional Corporate Restructuring & Insolvency - In-Depth Series,CS,"Comprehensive training program focusing on cs professional corporate restructuring & insolvency with practical focus on in-depth series, case studies, and hands-on exercises.",13499,Advanced,Active
166,SOC Analyst Level 1 & Threat Monitoring - Zero to Hero,Cybersecurity,"Comprehensive training program focusing on soc analyst level 1 & threat monitoring with practical focus on zero to hero, case studies, and hands-on exercises.",4999,Beginner,Active
167,Cloud Cost Optimization (FinOps) Best Practices: Fundamentals,Cloud Computing,"Comprehensive training program focusing on cloud cost optimization (finops) best practices with practical focus on fundamentals, case studies, and hands-on exercises.",4999,Beginner,Active
168,CMA Final Corporate Financial Reporting (CFR) - Real-World Projects,CMA,"Comprehensive training program focusing on cma final corporate financial reporting (cfr) with practical focus on real-world projects, case studies, and hands-on exercises.",13499,Advanced,Active
169,Global Supply Chain & Procurement Strategy: Bootcamp,Management,"Comprehensive training program focusing on global supply chain & procurement strategy with practical focus on bootcamp, case studies, and hands-on exercises.",5999,Intermediate,Active
170,Direct Tax Withholding (TDS/TCS) Compliance - Certification Prep,Taxation,"Comprehensive training program focusing on direct tax withholding (tds/tcs) compliance with practical focus on certification prep, case studies, and hands-on exercises.",5499,Intermediate,Active
171,Retail Banking Operations & Customer KYC: Frameworks & Best Practices,Banking,"Comprehensive training program focusing on retail banking operations & customer kyc with practical focus on frameworks & best practices, case studies, and hands-on exercises.",5999,Intermediate,Active
172,Six Sigma Green Belt Certification Training: Specialization,Certification,"Comprehensive training program focusing on six sigma green belt certification training with practical focus on specialization, case studies, and hands-on exercises.",7999,Intermediate,Active
173,CA Intermediate Taxation & Law: Advanced Practice,CA,"Comprehensive training program focusing on ca intermediate taxation & law with practical focus on advanced practice, case studies, and hands-on exercises.",14999,Advanced,Active
174,CMA Foundation Fundamentals of Accounting - Comprehensive Guide,CMA,"Comprehensive training program focusing on cma foundation fundamentals of accounting with practical focus on comprehensive guide, case studies, and hands-on exercises.",6999,Beginner,Active
175,B2B Sales Funnels & Account-Based Marketing (ABM): Practical Applications,Marketing,"Comprehensive training program focusing on b2b sales funnels & account-based marketing (abm) with practical focus on practical applications, case studies, and hands-on exercises.",4999,Intermediate,Active
176,CMA Foundation Fundamentals of Accounting - Frameworks & Best Practices,CMA,"Comprehensive training program focusing on cma foundation fundamentals of accounting with practical focus on frameworks & best practices, case studies, and hands-on exercises.",6999,Beginner,Active
177,Six Sigma Black Belt Process Excellence - Mastery,Certification,"Comprehensive training program focusing on six sigma black belt process excellence with practical focus on mastery, case studies, and hands-on exercises.",10999,Advanced,Active
178,Forex Dealing Room Operations - Advanced Practice,Banking,"Comprehensive training program focusing on forex dealing room operations with practical focus on advanced practice, case studies, and hands-on exercises.",7999,Advanced,Active
179,CS Professional Multidisciplinary Case Studies: Strategy & Implementation,CS,"Comprehensive training program focusing on cs professional multidisciplinary case studies with practical focus on strategy & implementation, case studies, and hands-on exercises.",13499,Advanced,Active
180,Google Cloud Associate Cloud Engineer - Strategy & Implementation,Cloud Computing,"Comprehensive training program focusing on google cloud associate cloud engineer with practical focus on strategy & implementation, case studies, and hands-on exercises.",4999,Beginner,Active
181,Real Estate Regulatory Authority (RERA) Compliance - Practical Applications,Law,"Comprehensive training program focusing on real estate regulatory authority (rera) compliance with practical focus on practical applications, case studies, and hands-on exercises.",5999,Intermediate,Active
182,Crash Course: Indirect Tax Laws and GST,CA,"Comprehensive training program focusing on indirect tax laws and gst with practical focus on crash course, case studies, and hands-on exercises.",10999,Intermediate,Active
183,Practical Applications: Performance Marketing & Paid Ads on Meta & Google,Marketing,"Comprehensive training program focusing on performance marketing & paid ads on meta & google with practical focus on practical applications, case studies, and hands-on exercises.",4999,Intermediate,Active
184,Forex Trading & Foreign Exchange Markets: Real-World Projects,Finance,"Comprehensive training program focusing on forex trading & foreign exchange markets with practical focus on real-world projects, case studies, and hands-on exercises.",6999,Intermediate,Active
185,Information Systems Control & Audit (ISCA) - Advanced Practice,CA,"Comprehensive training program focusing on information systems control & audit (isca) with practical focus on advanced practice, case studies, and hands-on exercises.",14999,Advanced,Active
186,Credit Appraisal & Financial Ratios for Lending: Practical Applications,Banking,"Comprehensive training program focusing on credit appraisal & financial ratios for lending with practical focus on practical applications, case studies, and hands-on exercises.",5999,Intermediate,Active
187,Certified Fraud Examiner (CFE) Exam Prep: Advanced Practice,Certification,"Comprehensive training program focusing on certified fraud examiner (cfe) exam prep with practical focus on advanced practice, case studies, and hands-on exercises.",10999,Advanced,Active
188,Executive Training: CMA Final Direct Tax Laws & International Taxation,CMA,"Comprehensive training program focusing on cma final direct tax laws & international taxation with practical focus on executive training, case studies, and hands-on exercises.",13499,Advanced,Active
189,Derivatives & Financial Engineering: Real-World Projects,Finance,"Comprehensive training program focusing on derivatives & financial engineering with practical focus on real-world projects, case studies, and hands-on exercises.",6999,Intermediate,Active
190,Bootcamp: Direct Tax Laws and International Taxation,CA,"Comprehensive training program focusing on direct tax laws and international taxation with practical focus on bootcamp, case studies, and hands-on exercises.",10999,Intermediate,Active
191,Data Engineering with Apache Spark & Hadoop: Hands-on Workshop,Data Science,"Comprehensive training program focusing on data engineering with apache spark & hadoop with practical focus on hands-on workshop, case studies, and hands-on exercises.",7499,Intermediate,Active
192,Kubernetes & Docker Container Orchestration - Fundamentals,Technology,"Comprehensive training program focusing on kubernetes & docker container orchestration with practical focus on fundamentals, case studies, and hands-on exercises.",4499,Beginner,Active
193,Certification Prep: GraphQL API Design & Integration,Technology,"Comprehensive training program focusing on graphql api design & integration with practical focus on certification prep, case studies, and hands-on exercises.",5999,Intermediate,Active
194,ESG Investing & Sustainable Finance Frameworks - Fundamentals,Finance,"Comprehensive training program focusing on esg investing & sustainable finance frameworks with practical focus on fundamentals, case studies, and hands-on exercises.",4999,Beginner,Active
195,In-Depth Series: SEBI Compliance & Listing Obligations (LODR),CS,"Comprehensive training program focusing on sebi compliance & listing obligations (lodr) with practical focus on in-depth series, case studies, and hands-on exercises.",9999,Intermediate,Active
196,Strategic Leadership & Executive Decision Making: Certification Prep,Management,"Comprehensive training program focusing on strategic leadership & executive decision making with practical focus on certification prep, case studies, and hands-on exercises.",5999,Intermediate,Active
197,Retail & Sales Performance Analytics: Fundamentals,Business Analytics,"Comprehensive training program focusing on retail & sales performance analytics with practical focus on fundamentals, case studies, and hands-on exercises.",4499,Beginner,Active
198,Big Data Processing with Databricks & PySpark - Mastery,Data Science,"Comprehensive training program focusing on big data processing with databricks & pyspark with practical focus on mastery, case studies, and hands-on exercises.",10499,Advanced,Active
199,Transfer Pricing Documentation & Benchmarking - Frameworks & Best Practices,Taxation,"Comprehensive training program focusing on transfer pricing documentation & benchmarking with practical focus on frameworks & best practices, case studies, and hands-on exercises.",5499,Intermediate,Active
200,SOC Analyst Level 1 & Threat Monitoring: Comprehensive Guide,Cybersecurity,"Comprehensive training program focusing on soc analyst level 1 & threat monitoring with practical focus on comprehensive guide, case studies, and hands-on exercises.",4999,Beginner,Active
201,Budgetary Control & Standard Costing: Frameworks & Best Practices,Accounting,"Comprehensive training program focusing on budgetary control & standard costing with practical focus on frameworks & best practices, case studies, and hands-on exercises.",4499,Intermediate,Active
202,CMA Final Strategic Performance Management & Valuation: Bootcamp,CMA,"Comprehensive training program focusing on cma final strategic performance management & valuation with practical focus on bootcamp, case studies, and hands-on exercises.",13499,Advanced,Active
203,Feature Engineering & Selection Techniques - Comprehensive Guide,Data Science,"Comprehensive training program focusing on feature engineering & selection techniques with practical focus on comprehensive guide, case studies, and hands-on exercises.",7499,Intermediate,Active
204,Computer Vision with OpenCV & PyTorch - Executive Training,Data Science,"Comprehensive training program focusing on computer vision with opencv & pytorch with practical focus on executive training, case studies, and hands-on exercises.",7499,Intermediate,Active
205,Fundamentals: Personal Financial Planning & Wealth Mgmt,Finance,"Comprehensive training program focusing on personal financial planning & wealth mgmt with practical focus on fundamentals, case studies, and hands-on exercises.",4999,Beginner,Active
206,Cryptography & Cryptanalysis Fundamentals: Real-World Projects,Cybersecurity,"Comprehensive training program focusing on cryptography & cryptanalysis fundamentals with practical focus on real-world projects, case studies, and hands-on exercises.",4999,Beginner,Active
207,Frameworks & Best Practices: CA Foundation Accounting Basics,CA,"Comprehensive training program focusing on ca foundation accounting basics with practical focus on frameworks & best practices, case studies, and hands-on exercises.",7999,Beginner,Inactive
208,Strategy & Implementation: Corporate Governance & Board Advisory,CS,"Comprehensive training program focusing on corporate governance & board advisory with practical focus on strategy & implementation, case studies, and hands-on exercises.",9999,Intermediate,Active
209,CMA Final Cost & Management Audit - Crash Course,CMA,"Comprehensive training program focusing on cma final cost & management audit with practical focus on crash course, case studies, and hands-on exercises.",13499,Advanced,Active
210,iOS Development with Swift & SwiftUI: Hands-on Workshop,Technology,"Comprehensive training program focusing on ios development with swift & swiftui with practical focus on hands-on workshop, case studies, and hands-on exercises.",5999,Intermediate,Active
211,Credit Appraisal & Financial Ratios for Lending: Zero to Hero,Banking,"Comprehensive training program focusing on credit appraisal & financial ratios for lending with practical focus on zero to hero, case studies, and hands-on exercises.",4499,Beginner,Active
212,Modern C++ and Low-Latency Development - Fundamentals,Technology,"Comprehensive training program focusing on modern c++ and low-latency development with practical focus on fundamentals, case studies, and hands-on exercises.",4499,Beginner,Active
213,Strategy & Implementation: Forex Dealing Room Operations,Banking,"Comprehensive training program focusing on forex dealing room operations with practical focus on strategy & implementation, case studies, and hands-on exercises.",5999,Intermediate,Active
214,Reinforcement Learning in Practice: Advanced Practice,Data Science,"Comprehensive training program focusing on reinforcement learning in practice with practical focus on advanced practice, case studies, and hands-on exercises.",10499,Advanced,Active
215,Operations Excellence & Lean Six Sigma - Comprehensive Guide,Management,"Comprehensive training program focusing on operations excellence & lean six sigma with practical focus on comprehensive guide, case studies, and hands-on exercises.",5999,Intermediate,Active
216,Bootcamp: Rust Programming Systems Engineering,Technology,"Comprehensive training program focusing on rust programming systems engineering with practical focus on bootcamp, case studies, and hands-on exercises.",5999,Intermediate,Active
217,Certification Prep: Microservices Design Patterns,Technology,"Comprehensive training program focusing on microservices design patterns with practical focus on certification prep, case studies, and hands-on exercises.",5999,Intermediate,Active
218,Letter of Credit (LC) & Bank Guarantee Mechanism: Comprehensive Guide,Banking,"Comprehensive training program focusing on letter of credit (lc) & bank guarantee mechanism with practical focus on comprehensive guide, case studies, and hands-on exercises.",5999,Intermediate,Active
219,Real-World Projects: Incident Response & Digital Forensics (DFIR),Cybersecurity,"Comprehensive training program focusing on incident response & digital forensics (dfir) with practical focus on real-world projects, case studies, and hands-on exercises.",6999,Intermediate,Active
220,Business Model Innovation & Startup Scaling: Crash Course,Management,"Comprehensive training program focusing on business model innovation & startup scaling with practical focus on crash course, case studies, and hands-on exercises.",5999,Intermediate,Active
221,Executive Training: Site Reliability Engineering (SRE) Best Practices,Technology,"Comprehensive training program focusing on site reliability engineering (sre) best practices with practical focus on executive training, case studies, and hands-on exercises.",5999,Intermediate,Active
222,Islamic Finance Principles - Fundamentals,Finance,"Comprehensive training program focusing on islamic finance principles with practical focus on fundamentals, case studies, and hands-on exercises.",4999,Beginner,Active
223,Tax Audits under Section 44AB: Certification Prep,Taxation,"Comprehensive training program focusing on tax audits under section 44ab with practical focus on certification prep, case studies, and hands-on exercises.",5499,Intermediate,Active
224,Computer Vision with OpenCV & PyTorch: Executive Training,Data Science,"Comprehensive training program focusing on computer vision with opencv & pytorch with practical focus on executive training, case studies, and hands-on exercises.",7499,Intermediate,Active
225,Labor & Employment Laws Compliance - Executive Training,Law,"Comprehensive training program focusing on labor & employment laws compliance with practical focus on executive training, case studies, and hands-on exercises.",5999,Intermediate,Active
226,Feature Engineering & Selection Techniques - In-Depth Series,Data Science,"Comprehensive training program focusing on feature engineering & selection techniques with practical focus on in-depth series, case studies, and hands-on exercises.",7499,Intermediate,Active
227,Performance Marketing & Paid Ads on Meta & Google - Practical Applications,Marketing,"Comprehensive training program focusing on performance marketing & paid ads on meta & google with practical focus on practical applications, case studies, and hands-on exercises.",4999,Intermediate,Active
228,Hands-on Workshop: Portfolio Theory & Risk-Adjusted Returns,Finance,"Comprehensive training program focusing on portfolio theory & risk-adjusted returns with practical focus on hands-on workshop, case studies, and hands-on exercises.",6999,Intermediate,Active
229,Advanced Financial Reporting - Advanced Practice,CA,"Comprehensive training program focusing on advanced financial reporting with practical focus on advanced practice, case studies, and hands-on exercises.",14999,Advanced,Active
230,Derivatives & Financial Engineering: In-Depth Series,Finance,"Comprehensive training program focusing on derivatives & financial engineering with practical focus on in-depth series, case studies, and hands-on exercises.",6999,Intermediate,Active
231,Frameworks & Best Practices: Influencer Marketing & Social Media Strategy,Marketing,"Comprehensive training program focusing on influencer marketing & social media strategy with practical focus on frameworks & best practices, case studies, and hands-on exercises.",4999,Intermediate,Active
232,Advanced Practice: ESG Investing & Sustainable Finance Frameworks,Finance,"Comprehensive training program focusing on esg investing & sustainable finance frameworks with practical focus on advanced practice, case studies, and hands-on exercises.",9499,Advanced,Active
233,Mastery: GST Annual Return (GSTR-9 & 9C) Filing Workshop,Taxation,"Comprehensive training program focusing on gst annual return (gstr-9 & 9c) filing workshop with practical focus on mastery, case studies, and hands-on exercises.",7499,Advanced,Active
234,Zero to Hero: CMA Foundation Fundamentals of Accounting,CMA,"Comprehensive training program focusing on cma foundation fundamentals of accounting with practical focus on zero to hero, case studies, and hands-on exercises.",6999,Beginner,Active
235,Zoho Books End-to-End Accounting: Fundamentals,Accounting,"Comprehensive training program focusing on zoho books end-to-end accounting with practical focus on fundamentals, case studies, and hands-on exercises.",2999,Beginner,Active
236,ESG Investing & Sustainable Finance Frameworks: Certification Prep,Finance,"Comprehensive training program focusing on esg investing & sustainable finance frameworks with practical focus on certification prep, case studies, and hands-on exercises.",6999,Intermediate,Active
237,Data Visualization with Matplotlib & Seaborn - Frameworks & Best Practices,Data Science,"Comprehensive training program focusing on data visualization with matplotlib & seaborn with practical focus on frameworks & best practices, case studies, and hands-on exercises.",7499,Intermediate,Active
238,Project Finance & Public-Private Partnerships - Specialization,Finance,"Comprehensive training program focusing on project finance & public-private partnerships with practical focus on specialization, case studies, and hands-on exercises.",6999,Intermediate,Active
239,Data Engineering with Apache Spark & Hadoop: Mastery,Data Science,"Comprehensive training program focusing on data engineering with apache spark & hadoop with practical focus on mastery, case studies, and hands-on exercises.",10499,Advanced,Active
240,Generative AI & Diffusion Models - Crash Course,Data Science,"Comprehensive training program focusing on generative ai & diffusion models with practical focus on crash course, case studies, and hands-on exercises.",7499,Intermediate,Active
241,Bootcamp: Tableau Desktop & Server for Business Insights,Business Analytics,"Comprehensive training program focusing on tableau desktop & server for business insights with practical focus on bootcamp, case studies, and hands-on exercises.",5999,Intermediate,Inactive
242,Expatriate Taxation & Dual Residence Issues: Frameworks & Best Practices,Taxation,"Comprehensive training program focusing on expatriate taxation & dual residence issues with practical focus on frameworks & best practices, case studies, and hands-on exercises.",5499,Intermediate,Active
243,In-Depth Series: Human Resource Management & Talent Acquisition,Management,"Comprehensive training program focusing on human resource management & talent acquisition with practical focus on in-depth series, case studies, and hands-on exercises.",5999,Intermediate,Active
244,Linux Systems Administration & Shell Scripting - Hands-on Workshop,Technology,"Comprehensive training program focusing on linux systems administration & shell scripting with practical focus on hands-on workshop, case studies, and hands-on exercises.",5999,Intermediate,Active
245,Reinforcement Learning in Practice: Certification Prep,Data Science,"Comprehensive training program focusing on reinforcement learning in practice with practical focus on certification prep, case studies, and hands-on exercises.",7499,Intermediate,Active
246,Real-World Projects: Google Cloud Professional Cloud Architect,Cloud Computing,"Comprehensive training program focusing on google cloud professional cloud architect with practical focus on real-world projects, case studies, and hands-on exercises.",8999,Advanced,Active
247,Comprehensive Guide: Cost Sheet Preparation & Variance Analysis,Accounting,"Comprehensive training program focusing on cost sheet preparation & variance analysis with practical focus on comprehensive guide, case studies, and hands-on exercises.",4499,Intermediate,Active
248,"Bootcamp: Payroll Accounting, EPF & ESIC Compliance",Accounting,"Comprehensive training program focusing on payroll accounting, epf & esic compliance with practical focus on bootcamp, case studies, and hands-on exercises.",4499,Intermediate,Active
249,Bootcamp: CMA Final Corporate Financial Reporting (CFR),CMA,"Comprehensive training program focusing on cma final corporate financial reporting (cfr) with practical focus on bootcamp, case studies, and hands-on exercises.",13499,Advanced,Active
250,Advanced Auditing and Professional Ethics: In-Depth Series,CA,"Comprehensive training program focusing on advanced auditing and professional ethics with practical focus on in-depth series, case studies, and hands-on exercises.",14999,Advanced,Active
251,Comprehensive Guide: Information Systems Control & Audit (ISCA),CA,"Comprehensive training program focusing on information systems control & audit (isca) with practical focus on comprehensive guide, case studies, and hands-on exercises.",10999,Intermediate,Active
